vehicle_id,license_plate,station,mileage,Booking Pickup Date,Booking Return Date,LINK TO WAVE,Next Booking Pickup Date,Next Booking Return Date,Return+3,Active until,Sticky Next Value,Sticky Update Flag
3C6MRVJG1SE517972,CRS7535,San Francisco,51799,2/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/15761/edit,19/1/2026,23/1/2026,12/1/2026,12/1/2026,,0
3C6MRVJG7SE518074,CRS7554,Los Angeles,40883,26/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/15750/edit,22/3/2026,1/4/2026,12/1/2026,12/1/2026,,0
3C6MRVJG4PE532666,CRS8076,Phoenix,176287,27/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/10332/edit,16/1/2026,19/1/2026,12/1/2026,12/1/2026,,0
3C6MRVJG6PE607111,CSN0321,Los Angeles,81323,31/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13616/edit,15/1/2026,20/1/2026,12/1/2026,12/1/2026,,0
W1W4EBVY7NP494373,CSN0591,Las Vegas,94099,30/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/10399/edit,17/4/2026,27/4/2026,12/1/2026,12/1/2026,,0
ZFA25000002Z17471,WI RS 7282,Nuremberg,47629,22/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13056/edit,2/5/2026,23/6/2026,12/1/2026,12/1/2026,,0
WF0DXXTTRDPY78141,WI RS 7895,Freiburg-Basel (Germany),12993,24/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13534/edit,24/12/2025,9/1/2026,12/1/2026,12/1/2026,,0
WV2ZZZST5SH028360,251-D-39959,Dublin,21034,6/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/15779/edit,25/10/2025,29/10/2025,12/1/2026,12/1/2026,,0
ZFA250005SMB03866,WI RS 7971,Frankfurt,26167,29/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/15375/edit,14/2/2026,23/2/2026,12/1/2026,12/1/2026,,0
WF0LXXTA8LSM02263,WI RC 2129,Venice,20345,7/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/15296/edit,6/1/2026,9/1/2026,12/1/2026,12/1/2026,,0
WV2ZZZST6SH026892,WI RC 1957,Milan,25105,30/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/16029/edit,30/12/2025,2/1/2026,12/1/2026,12/1/2026,,0
ZFA250000SMB09381,WI RS 8339,Kassel,18962,27/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/15094/edit,14/3/2026,14/9/2026,12/1/2026,12/1/2026,,0
ZFA250002SMB28109,WI RS 8440,Nuremberg,18336,1/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/15943/edit,20/3/2026,23/3/2026,12/1/2026,12/1/2026,,0
1FDWE3FN5SDD28456,CRS1427,Las Vegas,32003,29/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13772/edit,21/1/2026,20/2/2026,12/1/2026,12/1/2026,,0
1FDWE3FN9SDD35779,CRS1898,Miami,47667,5/1/2026,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13775/edit,20/11/2025,24/11/2025,12/1/2026,12/1/2026,,0
1FDWE3FN6SDD24755,CRS1447,Miami,64690,29/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13828/edit,5/2/2026,9/2/2026,12/1/2026,12/1/2026,,0
1FDWE3FN1SDD39048,CSN0224,Phoenix,42913,26/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/13936/edit,17/1/2026,29/1/2026,12/1/2026,12/1/2026,,0
1FDWE3FN3TDD01323,CRS7914,Miami,43735,27/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/15553/edit,13/6/2026,29/6/2026,12/1/2026,12/1/2026,,0
1FDWE3FN1SDD41706,CSN0430,Los Angeles,23675,26/12/2025,9/1/2026,https://backoffice.roadsurfer.com/vehicles/15579/edit,28/8/2025,1/9/2025,12/1/2026,12/1/2026,,0
