vehicle_id,license_plate,station,mileage,Booking Pickup Date,Booking Return Date,LINK TO WAVE,Next Booking Pickup Date,Next Booking Return Date,Return+3,Active until,Sticky Next Value,Sticky Update Flag
WV2ZZZ7HZRH051367,WI RS 5724,Hannover,30911,23/12/2024,23/12/2025,https://backoffice.roadsurfer.com/vehicles/13291/edit,13/5/2026,18/5/2026,26/12/2025,26/12/2025,,0
WV2ZZZ7HZPH063421,WI RS 3949,Stuttgart,86228,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/8613/edit,30/12/2025,5/1/2026,26/12/2025,26/12/2025,,0
WV2ZZZ7HZPH062832,WI RS 3943,Florence,72520,9/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/8688/edit,29/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
WV2ZZZ7HZRH042509,WI RS 5307,Lyon,46311,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/10620/edit,18/12/2025,23/12/2025,26/12/2025,26/12/2025,,0
WV2ZZZ7HZRH039169,WI RS 5257,Marburg,58150,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/10636/edit,24/12/2025,29/12/2025,26/12/2025,26/12/2025,,0
WV2ZZZ7HZRH041858,WI RS 5630,Gothenburg,56562,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/12224/edit,10/10/2025,27/10/2025,26/12/2025,26/12/2025,,0
VF3YLCPFCPG003829,WI RS 5185,Florence,52440,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/5361/edit,29/12/2025,2/1/2026,26/12/2025,26/12/2025,,0
ZFA25000002Y99657,FJ24BPY,Edinburgh,59070,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/11095/edit,16/2/2026,20/2/2026,26/12/2025,26/12/2025,,0
ZFA25000002Y20402,WI RS 5405,Stuttgart,16309,2/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/12777/edit,17/10/2025,25/10/2025,26/12/2025,26/12/2025,,0
ZFA25000002W03055,WI RS 3051,Paris,91866,19/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/7081/edit,27/12/2025,2/1/2026,26/12/2025,26/12/2025,,0
ZFA25000002W09965,WI RS 3355,Malaga,86978,19/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/7082/edit,30/12/2025,10/1/2026,26/12/2025,26/12/2025,,0
WV1ZZZSY4R9062990,WI RS 7211,Bielefeld,52971,19/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/12083/edit,24/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
WV1ZZZSY6P9004182,WI RS 2490,Graz,81495,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/7204/edit,29/12/2025,5/1/2026,26/12/2025,26/12/2025,,0
WV1ZZZSY3R9058008,WI RS 6741,Cologne-Dusseldorf,44892,6/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/11999/edit,23/12/2025,31/12/2025,26/12/2025,26/12/2025,,0
WV1ZZZSY6R9046225,WI RS 6073,Paris,61598,20/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/11832/edit,24/12/2025,2/1/2026,26/12/2025,26/12/2025,,0
WV1ZZZSY6R9056432,WI RS 6424,Frankfurt,71859,19/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/11982/edit,27/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
ZFA25000002Z02095,WI RS 7285,Munich,39798,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/10781/edit,16/1/2026,26/1/2026,26/12/2025,26/12/2025,,0
ZFA25000002Z00033,WI RS 7289,Cologne-Dusseldorf,53447,15/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/10762/edit,27/12/2025,5/1/2026,26/12/2025,26/12/2025,,0
3C6MRVJG6SE518003,CRS7541,Los Angeles,33537,20/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15748/edit,24/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
3C6MRVJG4SE518064,CRS7530,Denver,38516,9/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15739/edit,27/12/2025,31/12/2025,26/12/2025,26/12/2025,,0
3C6MRVJG1SE518149,CRS7543,Los Angeles,44928,20/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15758/edit,24/12/2025,30/12/2025,26/12/2025,26/12/2025,,0
ZFA25000002Y90666,WI RS 6473,Vienna,51414,20/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/13197/edit,27/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
ZFA25000002Z04015,WI RS 6678,Berlin,47711,20/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/13469/edit,24/12/2025,2/1/2026,26/12/2025,26/12/2025,,0
ZFA25000002Z40729,WI RS 7275,Hannover,51188,17/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/13046/edit,24/12/2025,5/1/2026,26/12/2025,26/12/2025,,0
ZFA25000002X74809,WI RS 5959,Munich,79132,20/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/13020/edit,27/12/2025,14/1/2026,26/12/2025,26/12/2025,,0
ZFA25000002Y88601,WI RS 7716,Bordeaux,46013,20/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/11258/edit,27/12/2025,2/1/2026,26/12/2025,26/12/2025,,0
ZFA250009SMB06057,WI RS 8480,Malmo,16783,19/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15379/edit,26/2/2026,2/3/2026,26/12/2025,26/12/2025,,0
ZFA250005SMB03866,WI RS 7971,Frankfurt,23018,16/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15375/edit,29/12/2025,9/1/2026,26/12/2025,26/12/2025,,0
ZFA250006SMB04007,WI RS 7988,Aachen,25149,1/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15839/edit,27/12/2025,9/1/2026,26/12/2025,26/12/2025,,0
ZFA250000SMB10563,WI RS 7955,Milan,24915,17/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15870/edit,27/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
WF0LXXTA4LRR26274,WI RC 2067,Trier,22554,19/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/11436/edit,4/10/2025,18/10/2025,26/12/2025,26/12/2025,,0
WF0LXXTAXLRT23751,WI RC 1850,Vienna-South,21381,18/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15493/edit,13/10/2025,18/10/2025,26/12/2025,26/12/2025,,0
WF0LXXTA3LSM02283,WI RC 2046,Berlin,24210,20/11/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15358/edit,8/9/2025,22/9/2025,26/12/2025,26/12/2025,,0
ZFA250007SMB35220,WI RS 8406,Frankfurt,18599,22/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/16199/edit,23/12/2025,5/1/2026,26/12/2025,26/12/2025,,0
ZFA250002SMA98786,251-D-46435,Dublin,14469,9/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15157/edit,27/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
ZFA250007SMB17834,WI RS 8110,Leipzig,18462,13/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15877/edit,30/12/2025,2/1/2026,26/12/2025,26/12/2025,,0
ZFA25000XSMB30495,WI RS 8131,Barcelona,31733,13/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/15888/edit,23/12/2025,27/12/2025,26/12/2025,26/12/2025,,0
1FDWE3FN0TDD00971,CRS7799,Las Vegas,35175,15/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/13929/edit,26/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
1FDWE3FN0TDD00419,CRS7941,Los Angeles,44028,19/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/13943/edit,27/12/2025,31/12/2025,26/12/2025,26/12/2025,,0
1FDWE3FN9TDD00421,CRS7942,Denver,45959,19/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/13937/edit,24/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
1FDWE3FN8SDD39032,CTG5067,Los Angeles,21876,15/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/14047/edit,26/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
1FDWE3FN9SDD38925,CTG5077,Los Angeles,29816,17/12/2025,23/12/2025,https://backoffice.roadsurfer.com/vehicles/14050/edit,23/12/2025,3/1/2026,26/12/2025,26/12/2025,,0
